snapshot	latest	commit	archive	size	sha256	release_url	asset_url
v14	true	749183cdded0f709c347a04bd1279b6a73a62751	voxelcraft-v14-source.zip	108633	b267eb2722d5c60e34bd8b98a768c728806aa6a49daebfa3962fc5ec272c544c	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/tag/voxelcraft-v14	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/download/voxelcraft-v14/voxelcraft-v14-source.zip
v1	false	770c2cdf5d04c0a64a353002bf1ba1f8d26fb7e1	voxelcraft-v1-source.zip	31412	3644c5304e9802631a88d131925619d3654d73bbf4acffab19e48ab03c149fcd	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/tag/voxelcraft-v1	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/download/voxelcraft-v1/voxelcraft-v1-source.zip
v11	false	fd71d08e217ec16aada158a607af053f8d4fc688	voxelcraft-v11-source.zip	76699	55ea99b81f58bad1e4fe199cbf808b4d63febc95f21723f0e60dfb08acb55184	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/tag/voxelcraft-v11	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/download/voxelcraft-v11/voxelcraft-v11-source.zip
v12	false	c1785fd40e81080876f96bd1aff52a5556232b5d	voxelcraft-v12-source.zip	84126	f1e5d7461339f3225066dffd23b27a95e591ffbc86c09db518611d8f2987ca39	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/tag/voxelcraft-v12	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/download/voxelcraft-v12/voxelcraft-v12-source.zip
v13-beta	false	22cddb23d33c5f53e05f4c95e1f224e44be84f84	voxelcraft-v13-beta-source.zip	98369	b53c306cf917c04b21aa6708cbc2b54b63e7db006ce7fb422f987b5651fffb0c	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/tag/voxelcraft-v13-beta	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/download/voxelcraft-v13-beta/voxelcraft-v13-beta-source.zip
v2	false	e7f6ada2b6fe0edc5f3d8f40391857152c88ef1d	voxelcraft-v2-source.zip	33040	80ae5d380c29fb6407dfb896e69ad7a9af93de3ad09edb12ff33621c53f661a3	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/tag/voxelcraft-v2	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/download/voxelcraft-v2/voxelcraft-v2-source.zip
v3	false	1486790f971229a73f027336ff7ea6b8b5049b2d	voxelcraft-v3-source.zip	40485	9b8ba636ece9a1cd550ed0b448bcad6936fe72d8e1c76c0ec58c3cb5fd685526	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/tag/voxelcraft-v3	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/download/voxelcraft-v3/voxelcraft-v3-source.zip
v4	false	2774bb5572dfdc2f3bdfb5625e51a6affb3fa031	voxelcraft-v4-source.zip	55576	723545ca4071f86ecacdd51d57faed813331fdfdaae01057d378a05f6fdce09d	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/tag/voxelcraft-v4	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/download/voxelcraft-v4/voxelcraft-v4-source.zip
v5	false	5180a1fc5a08f71c7355fd33596f3a5844d854c5	voxelcraft-v5-source.zip	57718	8d8b3b2ff0d28c95a5067c7d7b5a4d064041c2b1f9b25ea2ef4f14eb7f4230b4	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/tag/voxelcraft-v5	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/download/voxelcraft-v5/voxelcraft-v5-source.zip
v6-lite	false	4497a502f9dd342f1377664452978280b9efa441	voxelcraft-v6-lite-source.zip	64292	d72921a5ba9181311f216f798790e4b2bb912dc616410310076986b80eafb132	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/tag/voxelcraft-v6-lite	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/download/voxelcraft-v6-lite/voxelcraft-v6-lite-source.zip
v6-offline-cdn-imbutido	false	06a6c9e80b6aa6bcf604618dc6f2e6a5f19d49f3	voxelcraft-v6-offline-cdn-imbutido-source.zip	300183	35754cbb58d4e312808b4fb7f71b6ce663b43221cb55b861b294e9e8407d8eb1	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/tag/voxelcraft-v6-offline-cdn-imbutido	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/download/voxelcraft-v6-offline-cdn-imbutido/voxelcraft-v6-offline-cdn-imbutido-source.zip
v7	false	35b182845a916281e10073ebe9bb615d18c1c0c9	voxelcraft-v7-source.zip	65054	72d48dc03353e56a8949edcd6ddfe17e82fa92372ad8012b82535a02b3f321b0	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/tag/voxelcraft-v7	https://github.com/Mateuspp115/voxelcraft-odyssey-HTML-Build/releases/download/voxelcraft-v7/voxelcraft-v7-source.zip
